gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSG00000000003	ENST00000373020,ENST00000494424,ENST00000496771,ENST00000612152,ENST00000614008	2050.67	1870.38	571.00	11.42	8.60
ENSG00000000005	ENST00000373031,ENST00000485971	940.50	760.23	0.00	0.00	0.00
ENSG00000000419	ENST00000371582,ENST00000371584,ENST00000371588,ENST00000413082,ENST00000466152,ENST00000494752	791.84	611.56	771.00	47.15	35.51
ENSG00000000457	ENST00000367770,ENST00000367771,ENST00000367772,ENST00000423670,ENST00000470238	3724.11	3543.82	134.11	1.42	1.07
ENSG00000000460	ENST00000286031,ENST00000359326,ENST00000413811,ENST00000459772,ENST00000466580,ENST00000472795,ENST00000481744,ENST00000496973,ENST00000498289	1916.40	1736.11	407.89	8.79	6.62
ENSG00000000938	ENST00000374003,ENST00000374004,ENST00000374005,ENST00000399173,ENST00000457296,ENST00000468038,ENST00000475472	1735.29	1555.00	0.00	0.00	0.00
ENSG00000000971	ENST00000359637,ENST00000367429,ENST00000466229,ENST00000470918,ENST00000496761	2076.54	1896.25	17.00	0.34	0.25
ENSG00000001036	ENST00000002165,ENST00000367585,ENST00000451668	2310.18	2129.89	2259.68	39.68	29.88
ENSG00000001084	ENST00000229416,ENST00000504353,ENST00000504525,ENST00000505197,ENST00000505294,ENST00000509541,ENST00000510837,ENST00000513939,ENST00000514004,ENST00000514373,ENST00000514933,ENST00000515580,ENST00000616923	1147.87	967.61	1987.00	76.81	57.84
ENSG00000001167	ENST00000341376,ENST00000353205	2702.57	2522.28	2879.00	42.69	32.15
ENSG00000001460	ENST00000003583,ENST00000337248,ENST00000374409,ENST00000435187,ENST00000438866,ENST00000468303,ENST00000475760,ENST00000483261,ENST00000483528,ENST00000492753,ENST00000497384,ENST00000498488	2665.53	2485.24	473.00	7.12	5.36
ENSG00000001461	ENST00000003912,ENST00000339255,ENST00000358028,ENST00000374399,ENST00000432012,ENST00000475663,ENST00000488155	3182.24	3001.95	1075.00	13.39	10.09
ENSG00000001497	ENST00000374804,ENST00000374807,ENST00000374811,ENST00000469091,ENST00000484069	2400.95	2220.67	5028.00	84.69	63.77
ENSG00000001561	ENST00000321037	4651.00	4470.71	196.00	1.64	1.23
ENSG00000001617	ENST00000002829,ENST00000413852,ENST00000414301,ENST00000420831,ENST00000426511,ENST00000434342,ENST00000450338,ENST00000470737,ENST00000493743	2902.30	2722.01	1660.00	22.81	17.18
ENSG00000001626	ENST00000003084,ENST00000426809,ENST00000429014,ENST00000446805,ENST00000468795,ENST00000472848,ENST00000546407,ENST00000600166,ENST00000608965,ENST00000610149,ENST00000621535	1375.36	1199.79	0.00	0.00	0.00
ENSG00000001629	ENST00000265742,ENST00000413588,ENST00000422095,ENST00000439883,ENST00000442183,ENST00000465883,ENST00000486698	4064.27	3883.98	2353.00	22.66	17.06
ENSG00000001630	ENST00000003100,ENST00000422867,ENST00000435873,ENST00000450723,ENST00000482924	2882.64	2702.35	1619.64	22.42	16.88
ENSG00000001631	ENST00000340022,ENST00000394503,ENST00000394505,ENST00000394507,ENST00000412043,ENST00000413688,ENST00000422347,ENST00000425073,ENST00000425919,ENST00000430102,ENST00000433016,ENST00000440209,ENST00000444960,ENST00000445516,ENST00000452773,ENST00000454017,ENST00000458177,ENST00000458493,ENST00000466166,ENST00000470309,ENST00000475770,ENST00000486261,ENST00000487168,ENST00000489087,ENST00000611677	1180.55	1000.28	367.55	13.74	10.35
ENSG00000002016	ENST00000228345,ENST00000358495,ENST00000397230,ENST00000430095,ENST00000461568,ENST00000463750,ENST00000468231,ENST00000481052,ENST00000488642,ENST00000535376,ENST00000536177,ENST00000539046,ENST00000541619,ENST00000542297,ENST00000542584,ENST00000542785,ENST00000543912,ENST00000544742,ENST00000545564,ENST00000545967	1117.85	937.63	353.70	14.11	10.62
ENSG00000002079	ENST00000413734,ENST00000425880,ENST00000429079,ENST00000439784,ENST00000452010,ENST00000453194,ENST00000453378	2164.45	1984.46	79.00	1.49	1.12
ENSG00000002330	ENST00000309032,ENST00000394531,ENST00000394532,ENST00000492141,ENST00000493798,ENST00000544271,ENST00000544785	872.69	692.41	2382.02	128.67	96.90
ENSG00000002549	ENST00000226299,ENST00000503467,ENST00000504614,ENST00000507960,ENST00000508014,ENST00000508497,ENST00000509583,ENST00000512397,ENST00000513105,ENST00000606142,ENST00000618908	1915.97	1735.68	2723.00	58.68	44.19
ENSG00000002586	ENST00000381177,ENST00000381180,ENST00000381184,ENST00000381187,ENST00000381192,ENST00000449611,ENST00000482293,ENST00000482405,ENST00000497752,ENST00000611428,ENST00000623253,ENST00000624481	1190.88	1010.59	2597.00	96.12	72.38
ENSG00000002587	ENST00000002596,ENST00000510712,ENST00000514690	3006.00	2825.75	0.00	0.00	0.00
ENSG00000002726	ENST00000360937,ENST00000416793,ENST00000460213,ENST00000467291,ENST00000480582,ENST00000483043,ENST00000493429,ENST00000619575,ENST00000622116	1500.55	1320.25	2.00	0.06	0.04
ENSG00000002745	ENST00000222462,ENST00000361301	2188.50	2008.21	0.00	0.00	0.00
ENSG00000002746	ENST00000395891,ENST00000429529,ENST00000453890,ENST00000461842,ENST00000464944,ENST00000471043,ENST00000471527,ENST00000481031,ENST00000490954,ENST00000492310,ENST00000493057	1826.78	1646.50	260.00	5.91	4.45
ENSG00000002822	ENST00000265854,ENST00000399654,ENST00000402746,ENST00000406869,ENST00000421113,ENST00000429625,ENST00000429779,ENST00000437877,ENST00000438959,ENST00000444373,ENST00000445959,ENST00000450235,ENST00000455998,ENST00000459731,ENST00000464742,ENST00000468372,ENST00000469871,ENST00000477172,ENST00000481633,ENST00000483165,ENST00000486340,ENST00000491858,ENST00000496548	1207.34	1027.09	6175.00	224.87	169.34
ENSG00000002834	ENST00000318008,ENST00000419929,ENST00000433206,ENST00000435347,ENST00000443937,ENST00000579123,ENST00000581485,ENST00000584106,ENST00000585841	4015.38	3835.09	40197.04	392.02	295.22
